,CATEGORY,LATN,DEVA,TELU,TAML,MLYM,KNDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,tha,थ,థ,த,ഥ,ಥ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,da,द,ద,த,ദ,ದ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,dha,ध,ధ,த,ധ,ಧ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,na,न,న,ந,ന,ನ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,pa,प,ప,ப,പ,ಪ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,pha,फ,ఫ,ப,ഫ,ಫ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,ba,ब,బ,ப,ബ,ಬ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,bha,भ,భ,ப,ഭ,ಭ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,ma,म,మ,ம,മ,ಮ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,ya,य,య,ய,യ,ಯ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,ra,र,ర,ர,ര,ರ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,ṟa,rolled r,ఱ,ற,റ,ಱ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,la,ल,ల,ல,ല,ಲ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,ḷa,ळ,ళ,ள,ള,ಳ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,va,व,వ,வ,വ,ವ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,śa,श,శ,ஶ,ശ,ಶ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,ṣa,ष,ష,ஷ,ഷ,ಷ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,sa,स,స,ஸ,സ,ಸ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNSNT,ha,ह,హ,ஹ,ഹ,ಹ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kka,क्क,క్క,க்க,ക്ക,ಕ್ಕ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kkha,क्ख,క్ఖ,க்க,ക്ഖ,ಕ್ಖ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kga,क्ग,క్గ,க்க,ക്ഗ,ಕ್ಗ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kgha,क्घ,క్ఘ,க்க,ക്ഘ,ಕ್ಘ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kṅa,क्ङ,క్ఙ,க்ங,ക്ങ,ಕ್ಙ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kca,क्च,క్చ,க்ச,ക്ച,ಕ್ಚ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kcha,क्छ,క్ఛ,க்ச,ക്ഛ,ಕ್ಛ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kja,क्ज,క్జ,க்ஜ,ക്ജ,ಕ್ಜ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kjha,क्झ,క్ఝ,க்ச,ക്ഝ,ಕ್ಝ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kña,क्ञ,క్ఞ,க்ஞ,ക്ഞ,ಕ್ಞ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kṭa,क्ट,క్ట,க்ட,ക്ട,ಕ್ಟ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kṭha,क्ठ,క్ఠ,க்ட,ക്ഠ,ಕ್ಠ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kḍa,क्ड,క్డ,க்ட,ക്ഡ,ಕ್ಡ,,,,,,,,,,,,,,,,,,,,,,,,,,,
